279,40.6,36ffbc1ee1bc,iPhone 8
280,12.5,7bd2a4f188e2,Pixel 2
280,36.9,36ffbc1ee1bc,iPhone 8
280,38.0,36ffbc1ee1bc,iPhone 8
282,26.1,7bd2a4f188e2,Pixel 2
291,29.1,7068da7b6496,Moto G6
293,23.4,7068da7b6496,Moto G6
295,23.8,7068da7b6496,Moto G6
436,26.1,7928f95e040c,Pixel 5
437,23.6,7928f95e040c,Pixel 5
438,26.4,7928f95e040c,Pixel 5
504,18.9,4fe1ea564051,Pixel 1
713,39.8,36ffbc1ee1bc,iPhone 8
714,36.5,36ffbc1ee1bc,iPhone 8
714,29.8,36ffbc1ee1bc,iPhone 8
742,22.9,7bd2a4f188e2,Pixel 2
745,29.9,7068da7b6496,Moto G6
747,24.8,7068da7b6496,Moto G6
751,22.6,7068da7b6496,Moto G6
890,25.6,7928f95e040c,Pixel 5
891,32.8,7928f95e040c,Pixel 5
892,25.7,7928f95e040c,Pixel 5
969,18.8,4fe1ea564051,Pixel 1
1147,39.9,36ffbc1ee1bc,iPhone 8
1148,36.2,36ffbc1ee1bc,iPhone 8
1149,37.3,36ffbc1ee1bc,iPhone 8
1196,24.4,7bd2a4f188e2,Pixel 2
1201,29.1,7068da7b6496,Moto G6
1203,21.7,7068da7b6496,Moto G6
1344,27.5,7928f95e040c,Pixel 5
1345,28.2,7928f95e040c,Pixel 5
1346,30.3,7928f95e040c,Pixel 5
1426,18.3,4fe1ea564051,Pixel 1
1429,18.7,4fe1ea564051,Pixel 1
1581,41.1,36ffbc1ee1bc,iPhone 8
1582,37.1,36ffbc1ee1bc,iPhone 8
1583,35.7,36ffbc1ee1bc,iPhone 8
1653,31.2,7068da7b6496,Moto G6
1655,24.0,7068da7b6496,Moto G6
1660,23.1,7bd2a4f188e2,Pixel 2
1804,18.9,7928f95e040c,Pixel 5
1805,22.9,7928f95e040c,Pixel 5
1806,27.0,7928f95e040c,Pixel 5
2013,41.0,36ffbc1ee1bc,iPhone 8
2014,35.9,36ffbc1ee1bc,iPhone 8
2015,30.6,36ffbc1ee1bc,iPhone 8
2122,22.9,7bd2a4f188e2,Pixel 2
2268,26.2,7928f95e040c,Pixel 5
