00:06:66:0a:14:3a,"(-76.5490412,39.0713501)",,-65,13.0,"(-76.5475233,39.0714672)",0.0818230584555248
00:06:66:0d:8a:6c,"(-78.49492,37.7984983)",SP100-8A6C,-73,10.0,"(-78.4950302,37.7990445)",0.0382152610349756
00:06:66:0d:8a:6c,"(-78.49492,37.7984983)",SP100-8A6C,-73,10.0,"(-78.4950302,37.7990445)",0.0382152610349756
00:06:66:43:42:14,"(-111.8315317,33.4509517)",,-96,10.0,"(-111.831599,33.450988)",0.00461983322153276
00:06:66:61:1b:b0,"(-117.6153466,33.430819)",AP000888-1BB0,-70,6.068,"(-117.6153901,33.4306647)",0.0109521738030612
00:06:66:64:91:c8,"(-117.1079704,32.7234311)",,-92,10.0,"(-117.108069292,32.723181076)",0.0182062477736325
00:06:66:64:91:da,"(-117.2849714,33.0484872)",,-84,10.0,"(-117.284892936,33.0485131665)",0.00488555407978761
00:06:66:64:93:73,"(-117.0607834,32.9523)",AP001277-9373,-70,3.9,"(-117.060813,32.95234)",0.00325320242848027
00:06:66:64:b9:de,"(-121.962525,37.38448)",AP002103-B9DE,-95,10.0,"(-121.9620266,37.3843199)",0.0295136105152869
00:06:66:69:3e:8b,"(-117.0629091,32.9520269)",AP001648-3E8B,-95,3.9,"(-117.062780325,32.9521438619)",0.01100225291596
00:06:66:69:b0:68,"(-117.1752899,32.694595)",AP000821-B068,-79,10.0,"(-117.175315037,32.694515282)",0.00569860271616374
00:06:66:6c:50:58,"(-117.4046317,33.9350783)",AP002907-5058,-88,10.0,"(-117.4038424,33.9350838)",0.0452478899349511
00:06:66:6c:50:5c,"(-121.2920425,38.6499849)",AP002439-505C,-85,3.0,"(-121.2922251,38.648885)",0.0766316853785531
00:06:66:72:0a:56,"(-111.8401283,33.4439267)",,-99,10.0,"(-111.8401923,33.4439361)",0.00374652352248278
00:06:66:75:0f:43,"(-111.9087068,33.4219762)",,-93,10.0,"(-111.909021,33.421991)",0.0181480229494787
00:06:66:75:14:6c,"(-111.9165833,33.4515134)",,-76,10.0,"(-111.9175948,33.4516171)",0.0587495422681208
